time,word,freq,group
1,reietto,1.077904165,lose
2,reietto,4.551500165,lose
3,reietto,0.369362018,lose
4,reietto,1.782553028,lose
5,reietto,1.105585779,lose
6,reietto,0.775478075,lose
7,reietto,0.658965271,lose
8,reietto,0.270386856,lose
9,reietto,0,lose
10,reietto,0.32900044,lose
11,reietto,0.484838993,lose
12,reietto,0.253599297,lose
13,reietto,0.725508298,lose
14,reietto,0.615317617,lose
1,strafigo,1.787661137,lose
2,strafigo,1.025433495,lose
3,strafigo,0.35312983,lose
4,strafigo,1.787285933,lose
5,strafigo,1.059577091,lose
6,strafigo,0.615022468,lose
7,strafigo,0,lose
8,strafigo,0,lose
9,strafigo,0,lose
10,strafigo,0.371890047,lose
11,strafigo,0,lose
12,strafigo,0,lose
13,strafigo,0,lose
14,strafigo,0,lose
1,figaccione,1.640176195,lose
2,figaccione,1.245021566,lose
3,figaccione,0.966871616,lose
4,figaccione,0.95081215,lose
5,figaccione,0.664678352,lose
6,figaccione,0.532440121,lose
7,figaccione,0,lose
8,figaccione,0,lose
9,figaccione,0,lose
10,figaccione,0,lose
11,figaccione,0,lose
12,figaccione,0,lose
13,figaccione,0,lose
14,figaccione,0,lose
1,attraente,1.632204478,lose
2,attraente,0.876169347,lose
3,attraente,2.648768771,lose
4,attraente,2.542793231,lose
5,attraente,0.687482352,lose
6,attraente,0.461801647,lose
7,attraente,0,lose
8,attraente,0.728623554,lose
9,attraente,0.694490181,lose
10,attraente,0.755844442,lose
11,attraente,0.623696804,lose
12,attraente,0.387575863,lose
13,attraente,0.411459689,lose
14,attraente,0.549089642,lose
1,adone,0.748803336,lose
2,adone,0.637430688,lose
3,adone,0.936952023,lose
4,adone,2.356360879,lose
5,adone,0.596483468,lose
6,adone,0.723969606,lose
7,adone,0,lose
8,adone,0,lose
9,adone,0,lose
10,adone,0,lose
11,adone,0,lose
12,adone,0,lose
13,adone,0,lose
14,adone,0,lose
1,zerbini,0.217402568,gain
2,zerbini,0,gain
3,zerbini,0,gain
4,zerbini,0,gain
5,zerbini,0.309191885,gain
6,zerbini,0.54021146,gain
7,zerbini,1.873641942,gain
8,zerbini,0.951425657,gain
9,zerbini,0.863959457,gain
10,zerbini,1.777837146,gain
11,zerbini,1.418500348,gain
12,zerbini,1.239746766,gain
13,zerbini,1.026991143,gain
14,zerbini,0.781091627,gain
1,agato,0,gain
2,agato,0,gain
3,agato,0,gain
4,agato,0,gain
5,agato,0,gain
6,agato,0,gain
7,agato,0,gain
8,agato,0,gain
9,agato,0,gain
10,agato,0.571253829,gain
11,agato,0.707263974,gain
12,agato,1.202965964,gain
13,agato,1.253885603,gain
14,agato,1.264630629,gain
1,normie,0,gain
2,normie,0,gain
3,normie,0,gain
4,normie,0,gain
5,normie,0,gain
6,normie,0,gain
7,normie,0,gain
8,normie,0.714800651,gain
9,normie,0.790454887,gain
10,normie,0.657161802,gain
11,normie,1.11273819,gain
12,normie,1.177811631,gain
13,normie,1.478974881,gain
14,normie,1.068057958,gain
1,bv,0,gain
2,bv,0,gain
3,bv,0,gain
4,bv,0,gain
5,bv,0,gain
6,bv,0,gain
7,bv,0,gain
8,bv,0.748810297,gain
9,bv,0.307530961,gain
10,bv,0.968881393,gain
11,bv,1.140255906,gain
12,bv,1.173701361,gain
13,bv,1.302332582,gain
14,bv,1.358487501,gain
1,chad,0,gain
2,chad,0,gain
3,chad,0,gain
4,chad,0,gain
5,chad,0,gain
6,chad,0,gain
7,chad,0,gain
8,chad,0,gain
9,chad,0.047930368,gain
10,chad,0.827694472,gain
11,chad,1.107563537,gain
12,chad,1.065008775,gain
13,chad,1.433653373,gain
14,chad,1.518149475,gain
1,subumano,0,gain
2,subumano,0,gain
3,subumano,0,gain
4,subumano,0,gain
5,subumano,0.266023698,gain
6,subumano,0.186762193,gain
7,subumano,0,gain
8,subumano,0.390851474,gain
9,subumano,0.709286305,gain
10,subumano,0.837321576,gain
11,subumano,0.792846514,gain
12,subumano,2.310653072,gain
13,subumano,2.385946542,gain
14,subumano,1.120308625,gain
