Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Group
reietto,1.077904165,4.551500165,0.369362018,1.782553028,1.105585779,0.775478075,0.658965271,0.270386856,0,0.32900044,0.484838993,0.253599297,0.725508298,0.615317617,loser
strafigo,1.787661137,1.025433495,0.35312983,1.787285933,1.059577091,0.615022468,0,0,0,0.371890047,0,0,0,0,loser
figaccione,1.640176195,1.245021566,0.966871616,0.95081215,0.664678352,0.532440121,0,0,0,0,0,0,0,0,loser
attraente,1.632204478,0.876169347,2.648768771,2.542793231,0.687482352,0.461801647,0,0.728623554,0.694490181,0.755844442,0.623696804,0.387575863,0.411459689,0.549089642,loser
adone,0.748803336,0.637430688,0.936952023,2.356360879,0.596483468,0.723969606,0,0,0,0,0,0,0,0,loser
zerbini,0.217402568,0,0,0,0.309191885,0.54021146,1.873641942,0.951425657,0.863959457,1.777837146,1.418500348,1.239746766,1.026991143,0.781091627,gainer
agato,0,0,0,0,0,0,0,0,0,0.571253829,0.707263974,1.202965964,1.253885603,1.264630629,gainer
normie,0,0,0,0,0,0,0,0.714800651,0.790454887,0.657161802,1.11273819,1.177811631,1.478974881,1.068057958,gainer
bv,0,0,0,0,0,0,0,0.748810297,0.307530961,0.968881393,1.140255906,1.173701361,1.302332582,1.358487501,gainer
chad,0,0,0,0,0,0,0,0,0.047930368,0.827694472,1.107563537,1.065008775,1.433653373,1.518149475,gainer
subumano,0,0,0,0,0.266023698,0.186762193,0,0.390851474,0.709286305,0.837321576,0.792846514,2.310653072,2.385946542,1.120308625,gainer
