ID,Epoch,Model,Val F1,Val F1 St.Dev,Val Rec,Val Prec,Test F1,Test F1 St.Dev,Test Rec,Test Prec
0,4,Incel BERT 1M,0.8749405154957509,0.005349933533832765,0.8943037974683545,0.8564596215030447,0.8716513510661004,0.0063541069970191625,0.8828767123287671,0.8608190780504943
0,3,Incel BERT 100k,0.8653785953604144,0.0064929793911843925,0.8867088607594937,0.8455019709153753,0.8677651588617753,0.006365045165524885,0.8818493150684932,0.8547068436782637
0,4,Incel BERT 10k,0.8674725326318686,0.0047635557782604735,0.8699367088607595,0.8654200128909043,0.8654408045975137,0.008493499279398003,0.8551369863013699,0.8764791235970542
0,4,Incel RoBERTa 1M,0.8603895137188641,0.004990940167432898,0.8639240506329114,0.8569246901241817,0.8567555827265583,0.00531293141903221,0.8777397260273971,0.8368023530979979
0,4,HateBERT,0.8527749123713548,0.006852571506588203,0.845253164556962,0.860650749443008,0.8526733581169206,0.008051558661154003,0.8489726027397261,0.8567068385106209
0,3,HateXplain,0.8564849959659598,0.004850551741140949,0.8544303797468353,0.8593725284686189,0.8473851050677667,0.004890231624557549,0.8363013698630137,0.8593606282945497
0,3,BERT base,0.8461721523195962,0.009995247692897643,0.8512658227848101,0.8445306614511475,0.8446455729971468,0.00767484963995753,0.8431506849315069,0.8494824712378433
0,4,Incel RoBERTa 100k,0.8639586867966592,0.007513427848817136,0.8699367088607595,0.8581609737778286,0.8443376142388825,0.005340658859426337,0.8534246575342465,0.835695214487264
0,4,Incel RoBERTa 10k,0.8559115952766657,0.00543950348707899,0.870253164556962,0.8421632709104154,0.8427621649356727,0.0050401267397296,0.8626712328767123,0.8239653949471588
0,4,RoBERTa base,0.8507506309906219,0.00685677587883963,0.8569620253164556,0.8447807505893511,0.8410895981569608,0.005132620818806985,0.8513698630136985,0.8314207954361397
0,3,CNN,0.8228890260225674,0.013409614840945603,0.8401898734177216,0.8133658078925897,0.8121949075383565,0.013665852562571995,0.8438356164383561,0.7905568068381583
